CITY,COLOR,POPULATION,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Pittsburgh,#e06666,"302,971",PA,94.50,61,400,132.03,110,29.00%,83,aug,975.00,138,16.00,187,1962,8,"5,471.00",41
San Francisco,#e06666,"873,965",CA,94.83,62,660,75.52,185,64.00%,55,May,469.00,171,19.00,133,1968,22,"18,634.00",3
McAllen,#e06666,"142,210",TX,94.83,63,270,189.86,58,60.00%,57,apr,648.00,162,30.00,2,2001,208,"3,778.00",82
Roseville,#e06666,"147,773",CA,95.00,64,260,175.95,69,67.00%,50,aug,488.00,167,24.00,70,1985,110,"3,208.00",104
Danbury,#e06666,"86,518",CT,95.17,65,110,127.14,117,100.00%,39,mar,"1,323.00",36,15.00,190,1968,27,"2,062.00",162
Long Beach,#e06666,"466,742",CA,96.00,66,480,102.84,145,14.00%,97,jun,218.00,207,23.00,81,1969,31,"9,205.00",15
Waterbury,#e06666,"114,403",CT,96.17,67,120,104.89,141,0.00%,117,apr,"1,319.00",39,16.00,170,1972,46,"4,301.00",64
Houston,#e06666,"2,304,580",TX,97.17,68,980,42.52,207,58.00%,59,nov,"1,507.00",15,27.00,17,1996,194,"3,613.00",91
Louisville,#e06666,"633,045",KY,97.33,69,460,72.66,188,300.00%,8,sep,"1,351.00",31,20.00,116,1979,74,"1,948.00",167
Birmingham,#e06666,"200,733",AL,97.33,70,400,199.27,50,0.00%,118,mar,"1,440.00",20,23.00,74,1986,125,"1,365.40",197
Manchester,#e06666,"115,644",NH,98.00,71,380,328.59,11,0.00%,119,apr,"1,188.00",92,15.00,193,1979,77,"3,497.00",96
Lansing,#f6b26b,"112,644",MI,98.17,72,200,177.55,68,100.00%,40,nov,954.00,143,14.00,207,1974,53,"3,877.00",78
Ontario,#f6b26b,"175,265",CA,98.17,73,290,165.46,77,67.00%,51,sep,273.00,196,26.00,45,1987,137,"3,775.00",83
Round Rock,#f6b26b,"119,468",TX,98.33,74,320,267.85,27,80.00%,47,feb,907.00,152,26.00,44,2003,214,"3,174.00",106
Lodi,#f6b26b,"66,348",CA,98.50,75,130,195.94,54,0.00%,120,oct,375.00,184,24.00,72,1985,112,"4,860.00",49
Albany,#f6b26b,"99,224",NY,98.67,76,310,312.42,15,-50.00%,184,aug,"1,120.00",105,15.00,194,1971,42,"4,730.00",52
Tallahassee,#f6b26b,"196,169",FL,98.83,77,260,132.54,109,0.00%,121,mar,"1,449.00",19,27.00,19,1990,156,"1,926.00",169
Santa Barbara,#f6b26b,"88,665",CA,99.00,78,250,281.96,20,-50.00%,185,feb,388.00,183,22.00,99,1974,51,"4,546.00",56
Anaheim,#f6b26b,"346,824",CA,99.17,79,450,129.75,112,-15.00%,157,dec,230.00,202,25.00,66,1969,30,"6,899.00",28
Fremont,#f6b26b,"230,504",CA,99.33,80,340,147.50,93,43.00%,68,feb,353.00,185,21.00,111,1968,20,"2,943.00",119
Baltimore,#f6b26b,"585,708",MD,99.50,81,560,95.61,159,-15.00%,158,apr,"1,254.00",62,19.00,128,1978,68,"7,235.00",22
Santa Rosa,#f6b26b,"178,127",CA,99.67,82,240,134.74,105,25.00%,88,aug,713.00,161,22.00,97,1980,79,"4,188.00",68
East Hartford,#f6b26b,"51,045",CT,99.67,83,80,156.72,89,0.00%,122,mar,"1,248.00",65,16.00,175,1968,25,"2,837.00",122
Chesapeake,#f6b26b,"249,422",VA,100.50,84,290,116.27,126,150.00%,27,May,"1,295.00",46,22.00,87,1984,104,736.00,213
Flint,#f6b26b,"81,252",MI,100.83,85,160,196.92,52,500.00%,1,mar,880.00,155,14.00,211,1971,43,"2,384.00",143
Fresno,#f6b26b,"542,107",CA,101.50,86,430,79.32,181,180.00%,23,nov,255.00,198,26.00,46,1985,108,"4,722.00",53
Lancaster,#f6b26b,"58,039",PA,101.67,87,110,189.53,59,-60.00%,201,feb,"1,149.00",101,17.00,160,1978,71,"8,031.00",18
Myrtle Beach,#f6b26b,"35,682",SC,101.67,88,240,672.61,2,60.00%,58,nov,"1,232.00",71,23.00,76,2003,215,"1,523.00",188
Daytona Beach,#f6b26b,"72,647",FL,101.67,89,120,165.18,78,50.00%,62,mar,"1,218.00",78,27.00,25,1990,157,"1,107.00",210
Eugene,#f6b26b,"176,654",OR,102.17,90,170,96.23,157,200.00%,19,oct,"1,043.00",126,17.00,166,1978,72,"3,995.00",73
Titusville,#f6b26b,"48,789",FL,102.50,91,150,307.45,17,-57.00%,197,jan,"1,288.00",49,27.00,22,1988,147,"1,669.00",183
San Marcos,#f6b26b,"67,553",TX,103.17,92,230,340.47,9,67.00%,52,feb,905.00,153,27.00,28,2003,213,"2,034.00",164
Dayton,#f6b26b,"137,644",OH,103.67,93,230,167.10,76,0.00%,123,aug,"1,102.00",110,18.00,141,1971,39,"2,466.00",133
Minneapolis,#f6b26b,"429,954",MN,104.33,94,570,132.57,108,125.00%,32,jul,853.00,156,13.00,214,1982,97,"7,962.00",19
Los Angeles,#f6b26b,"3,898,747",CA,104.67,95,1050,26.93,211,44.00%,65,nov,235.00,200,22.00,103,1969,32,"8,205.00",17
Buffalo,#f6b26b,"278,349",NY,105.00,96,290,104.19,144,0.00%,124,May,"1,070.00",118,13.00,213,1957,2,"6,893.00",29
Cincinnati,#f6b26b,"309,317",OH,105.33,97,400,129.32,113,-14.00%,156,jun,"1,201.00",86,18.00,139,1977,62,"3,970.00",76
Asheville,#f6b26b,"94,067",NC,105.33,98,180,191.35,56,400.00%,4,May,"1,053.00",124,20.00,121,1991,166,"2,080.00",161
Beavercreek,#f6b26b,"46,372",OH,105.50,99,130,280.34,21,0.00%,125,apr,"1,107.00",107,17.00,162,1971,41,"1,750.00",177
Oakland,#f6b26b,"440,646",CA,106.50,100,460,104.39,142,-30.00%,169,aug,516.00,164,20.00,123,1968,21,"7,878.00",20
Grand Rapids,#f6b26b,"198,917",MI,107.67,101,280,140.76,99,50.00%,63,jul,999.00,133,14.00,206,1980,83,"4,442.00",62
Portland,#f6b26b,"68,408",ME,107.67,102,160,233.89,36,-50.00%,186,dec,"1,415.00",23,13.00,212,1980,84,"3,175.00",105
Virginia Beach,#f6b26b,"459,470",VA,107.67,103,460,100.12,148,83.00%,46,apr,"1,267.00",57,20.00,117,1984,106,"1,877.00",172
Lexington,#f6b26b,"322,570",KY,107.83,104,370,114.70,130,300.00%,9,aug,"1,338.00",33,19.00,126,1987,141,"1,137.00",208
Fayetteville,#f6b26b,"208,501",NC,108.00,105,260,124.70,120,200.00%,20,sep,"1,224.00",76,23.00,77,1991,164,"1,406.00",191
Biloxi,#f6b26b,"49,449",MS,108.17,106,80,161.78,84,0.00%,126,jun,"1,628.00",7,25.00,53,1993,172,"1,151.00",207
Brownsville,#f6b26b,"186,738",TX,108.33,107,240,128.52,114,150.00%,28,jul,786.00,159,29.00,9,1995,181,"2,096.00",159
Shelton,#f6b26b,"41,751",CT,108.50,108,70,167.66,75,0.00%,127,dec,"1,322.00",37,16.00,169,1972,45,"1,334.00",198
Rochester,#f6b26b,"211,328",NY,108.67,109,360,170.35,72,-33.00%,172,sep,945.00,145,14.00,209,1967,18,"5,909.00",36
