CITY,COLOR,POPULATION,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Phoenix,#93c47d,"1,608,139",AZ,133.67,185,690,42.91,206,15.00%,96,May,174.00,212,31.00,1,1995,178,"3,102.00",109
El Paso,#93c47d,"678,815",TX,134.50,186,550,81.02,177,20.00%,93,sep,233.00,201,26.00,47,1990,159,"2,634.00",130
Orem,#93c47d,"98,129",UT,135.00,187,260,264.96,28,-58.00%,200,dec,409.00,180,18.00,148,2002,210,"5,267.00",44
Fort Worth,#93c47d,"918,915",TX,135.00,188,690,75.09,186,17.00%,95,aug,932.00,148,25.00,64,1995,186,"2,615.00",131
Jacksonville,#93c47d,"949,611",FL,135.17,189,580,61.08,195,0.00%,146,jul,"1,284.00",50,26.00,42,1994,174,"1,270.00",204
Corpus Christi,#93c47d,"317,863",TX,135.67,190,350,110.11,136,-57.00%,199,jan,735.00,160,27.00,31,1983,101,"1,524.00",187
Chandler,#93c47d,"275,987",AZ,135.83,191,260,94.21,160,-56.00%,196,jul,200.00,209,30.00,4,1995,180,"4,226.00",66
Provo,#93c47d,"115,162",UT,136.33,192,190,164.98,79,50.00%,64,sep,471.00,170,17.00,168,2002,211,"2,762.00",126
Des Moines,#93c47d,"214,133",IA,136.33,193,130,60.71,196,300.00%,10,apr,959.00,140,16.00,188,1987,145,"2,428.00",139
Dallas,#93c47d,"1,304,379",TX,136.50,194,810,62.10,194,-18.00%,161,mar,984.00,136,25.00,62,1995,185,"3,840.00",81
Spokane,#93c47d,"228,989",WA,137.50,195,170,74.24,187,33.00%,82,May,456.00,174,15.00,202,1979,78,"3,330.00",102
Toledo,#93c47d,"270,871",OH,137.67,196,140,51.69,202,-20.00%,164,aug,"1,001.00",132,15.00,199,1968,28,"3,365.00",101
Durham,#93c47d,"283,506",NC,138.00,197,280,98.76,151,-33.00%,176,jun,"1,218.00",79,22.00,91,1996,197,"2,457.00",134
Portland,#93c47d,"652,503",OR,138.17,198,470,72.03,190,-31.00%,171,jul,"1,050.00",125,17.00,165,1986,130,"4,888.00",48
Bakersfield,#93c47d,"403,455",CA,138.83,199,400,99.14,149,-30.00%,170,aug,135.00,214,26.00,49,1986,123,"2,693.00",128
Kansas City,#93c47d,"508,090",MO,139.33,200,450,88.57,163,-15.00%,159,jun,"1,112.00",106,19.00,131,1981,93,"1,614.00",184
Colorado Springs,#93c47d,"478,961",CO,140.67,201,420,87.69,165,67.00%,53,apr,438.00,176,18.00,146,1991,167,"2,451.00",137
Greenwood,#93c47d,"63,830",IN,142.33,202,50,78.33,183,0.00%,147,May,"1,189.00",91,17.00,157,1986,128,"2,287.00",148
Charlotte,#93c47d,"874,579",NC,143.00,203,570,65.17,192,0.00%,148,aug,"1,149.00",102,22.00,94,1997,199,"2,821.00",123
Davenport,#93c47d,"101,724",IA,143.67,204,50,49.15,204,0.00%,149,aug,"1,055.00",123,16.00,184,1967,17,"1,594.00",185
East Lansing,#93c47d,"47,741",MI,144.50,205,10,20.95,213,0.00%,150,aug,945.00,146,14.00,210,1974,54,"3,554.00",94
